district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Hongkou,密二小区 1室0厅 35.65平米,https://sh.lianjia.com/chengjiao/107109598188.html,南 | 精装,2024.06.07,198万,低楼层(共6层) 1983年板楼,55540元/平,"房屋满五年, 近地铁",挂牌220万,成交周期42天,徐吉文,https://dianpu.lianjia.com/1000000022129976/
Hongkou,东体小区 2室1厅 51.59平米,https://sh.lianjia.com/chengjiao/107109821150.html,南 | 简装,2024.06.06,295.5万,中楼层(共6层) 1984年板楼,57279元/平,"房屋满五年, 近地铁",挂牌306万,成交周期12天,杨亚萍,https://dianpu.lianjia.com/1000000030682494/
Hongkou,赤一小区 1室0厅 32.66平米,https://sh.lianjia.com/chengjiao/107109842443.html,南 | 简装,2024.06.06,156万,高楼层(共6层) 1983年板楼,47765元/平,"房屋满五年, 近地铁",挂牌160万,成交周期9天,李真真,https://dianpu.lianjia.com/1000002101217001/
Hongkou,祥东小区(虹口) 2室1厅 41.6平米,https://sh.lianjia.com/chengjiao/107109712836.html,南 | 精装,2024.06.05,257万,低楼层(共6层) 1980年板楼,61779元/平,近地铁,挂牌290万,成交周期25天,陈建玉,https://dianpu.lianjia.com/1000000026617459/
Hongkou,密二小区 2室1厅 46.93平米,https://sh.lianjia.com/chengjiao/107109141995.html,南 北 | 简装,2024.06.05,245万,高楼层(共6层) 1983年板楼,52206元/平,近地铁,挂牌259万,成交周期95天,刘东妮,https://dianpu.lianjia.com/1000000026518203/
Hongkou,赤峰小区 2室0厅 47.57平米,https://sh.lianjia.com/chengjiao/107109870416.html,南 | 精装,2024.06.04,261万,高楼层(共6层) 1984年板楼,54867元/平,"房屋满五年, 近地铁",挂牌275万,成交周期4天,严军,https://dianpu.lianjia.com/1000000022118449/
Hongkou,密云路250弄 2室1厅 68.73平米,https://sh.lianjia.com/chengjiao/107109583539.html,南 | 简装,2024.06.03,390万,低楼层(共6层) 1988年板楼,56744元/平,"房屋满五年, 近地铁",挂牌420万,成交周期40天,徐柳青,https://dianpu.lianjia.com/1000002101477939/
Hongkou,东五小区(虹口) 2室1厅 64.69平米,https://sh.lianjia.com/chengjiao/107109816157.html,东南 | 精装,2024.06.02,365万,高楼层(共24层) 1989年塔楼,56423元/平,"房屋满五年, 近地铁",挂牌398万,成交周期9天,邢国靖,https://dianpu.lianjia.com/1000000030787808/
Hongkou,四平路幸福村 1室0厅 34.29平米,https://sh.lianjia.com/chengjiao/107108814553.html,南 | 毛坯,2024.06.02,171万,高楼层(共6层) 1989年板楼,49869元/平,"房屋满五年, 近地铁",挂牌195万,成交周期157天,赖九龙,https://dianpu.lianjia.com/1000000022248937/
Hongkou,密二小区 2室1厅 47.35平米,https://sh.lianjia.com/chengjiao/107109627324.html,南 北 | 简装,2024.06.02,256万,中楼层(共6层) 1983年板楼,54066元/平,"房屋满五年, 近地铁",挂牌270万,成交周期33天,尹迎迎,https://dianpu.lianjia.com/1000000022245327/
Hongkou,邮电二村 2室1厅 66.04平米,https://sh.lianjia.com/chengjiao/107108744368.html,东 西 | 精装,2024.06.01,413万,低楼层(共24层) 1990年塔楼,62538元/平,近地铁,挂牌420万,成交周期165天,汤帅,https://dianpu.lianjia.com/1000000030303950/
Hongkou,巴林小区 2室1厅 56.6平米,https://sh.lianjia.com/chengjiao/107109848214.html,南 | 简装,2024.06.01,336万,中楼层(共6层) 1991年板楼,59364元/平,,挂牌350万,成交周期3天,何成彪,https://dianpu.lianjia.com/1000000026775095/
Hongkou,祥东小区(虹口) 2室1厅 46.05平米,https://sh.lianjia.com/chengjiao/107109271074.html,南 | 精装,2024.06.01,288万,中楼层(共6层) 1982年板楼,62541元/平,"房屋满五年, 近地铁",挂牌305万,成交周期77天,施秋敏,https://dianpu.lianjia.com/1000000030798873/
Hongkou,银联花园 3室1厅 86.18平米,https://sh.lianjia.com/chengjiao/107109329128.html,南 | 简装,2024.05.31,629万,中楼层(共6层) 1993年板楼,72987元/平,"房屋满五年, 近地铁",挂牌669万,成交周期70天,何存江,https://dianpu.lianjia.com/1000000030031151/
Hongkou,松花小区 1室1厅 36.59平米,https://sh.lianjia.com/chengjiao/107107958373.html,南 | 毛坯,2024.05.31,189万,中楼层(共6层) 1990年板楼,51654元/平,"房屋满五年, 近地铁",挂牌198万,成交周期270天,夏莉莉,https://dianpu.lianjia.com/1000000022147029/
Hongkou,邮电新村 2室0厅 50.11平米,https://sh.lianjia.com/chengjiao/107109055051.html,南 北 | 简装,2024.05.30,250万,中楼层(共5层) 1953年板楼,49891元/平,"房屋满五年, 近地铁",挂牌270万,成交周期100天,李家玮,https://dianpu.lianjia.com/1000000030631295/
Hongkou,邮电二村 2室1厅 76.17平米,https://sh.lianjia.com/chengjiao/107108240748.html,东 | 简装,2024.05.28,430万,高楼层(共24层) 1993年塔楼,56453元/平,近地铁,挂牌465万,成交周期229天,李永春,https://dianpu.lianjia.com/1000000026505529/
Hongkou,松花小区 2室1厅 71.65平米,https://sh.lianjia.com/chengjiao/107109761566.html,南 | 精装,2024.05.26,360万,高楼层(共7层) 1991年板楼,50245元/平,"房屋满五年, 近地铁",挂牌430万,成交周期9天,唐静,https://dianpu.lianjia.com/1000000030271348/
Hongkou,运三小区 1室1厅 40.37平米,https://sh.lianjia.com/chengjiao/107109392541.html,南 北 | 精装,2024.05.23,207万,低楼层(共6层) 1985年板楼,51276元/平,房屋满五年,挂牌225万,成交周期54天,夏莉莉,https://dianpu.lianjia.com/1000000022147029/
Hongkou,商建大楼 2室1厅 85.91平米,https://sh.lianjia.com/chengjiao/107108034598.html,南 | 精装,2024.05.22,500万,高楼层(共21层) 1995年塔楼,58201元/平,"房屋满五年, 近地铁",挂牌535万,成交周期252天,李福建,https://dianpu.lianjia.com/1000002101514988/
Hongkou,赤一小区 1室0厅 33.4平米,https://sh.lianjia.com/chengjiao/107109589257.html,南 | 简装,2024.05.20,165万,高楼层(共6层) 1985年板楼,49402元/平,"房屋满五年, 近地铁",挂牌173万,成交周期25天,刘东妮,https://dianpu.lianjia.com/1000000026518203/
Hongkou,飘鹰东方花园 2室2厅 117.66平米,https://sh.lianjia.com/chengjiao/107108498014.html,南 | 精装,2024.05.20,927万,中楼层(共18层) 2003年板楼,78787元/平,"房屋满五年, 近地铁",挂牌1010万,成交周期186天,洪睿,https://dianpu.lianjia.com/1000000022175484/
Hongkou,建工天峰公寓 1室1厅 42.22平米,https://sh.lianjia.com/chengjiao/107107789334.html,南 | 简装,2024.05.19,207.5万,高楼层(共6层) 1991年板楼,49148元/平,"房屋满五年, 近地铁",挂牌248万,成交周期280天,夏莉莉,https://dianpu.lianjia.com/1000000022147029/
Hongkou,东体小区 2室1厅 50.61平米,https://sh.lianjia.com/chengjiao/107109337219.html,南 | 简装,2024.05.19,283万,低楼层(共6层) 1983年板楼,55918元/平,"房屋满五年, 近地铁",挂牌315万,成交周期57天,李智元,https://dianpu.lianjia.com/1000000026702553/
Hongkou,曲一花苑 3室1厅 67.44平米,https://sh.lianjia.com/chengjiao/107109640158.html,南 北 | 毛坯,2024.05.19,485万,低楼层(共12层) 1984年塔楼,71916元/平,近地铁,挂牌518万,成交周期16天,于爱娣,https://dianpu.lianjia.com/1000000022094405/
Hongkou,运光路90弄 1室1厅 43.14平米,https://sh.lianjia.com/chengjiao/107109681459.html,南 | 简装,2024.05.18,198万,高楼层(共6层) 1984年板楼,45898元/平,房屋满五年,挂牌210万,成交周期11天,倪梅,https://dianpu.lianjia.com/1000000022263894/
Hongkou,曲阳花苑 3室2厅 146.08平米,https://sh.lianjia.com/chengjiao/107105367406.html,南 | 简装,2024.05.17,746万,中楼层(共20层) 1997年塔楼,51068元/平,"房屋满五年, 近地铁",挂牌850万,成交周期693天,菅娜娜,https://dianpu.lianjia.com/1000002101279427/
Hongkou,上农新村 1室1厅 37.73平米,https://sh.lianjia.com/chengjiao/107109525697.html,南 | 简装,2024.05.17,193万,高楼层(共6层) 1985年板楼,51153元/平,"房屋满五年, 近地铁",挂牌238万,成交周期30天,胡忠明,https://dianpu.lianjia.com/1000000022258011/
Hongkou,银联花园 2室1厅 70.76平米,https://sh.lianjia.com/chengjiao/107109256905.html,南 | 简装,2024.05.17,450万,高楼层(共18层) 1995年塔楼,63596元/平,近地铁,挂牌483万,成交周期64天,左瑞涛,https://dianpu.lianjia.com/1000000022165618/
Hongkou,邮电二村 2室1厅 76.17平米,https://sh.lianjia.com/chengjiao/107106765390.html,东南 | 简装,2024.05.10,426.5万,高楼层(共24层) 1990年塔楼,55994元/平,"房屋满五年, 近地铁",挂牌440万,成交周期415天,段乐乐,https://dianpu.lianjia.com/1000000026524477/
