district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Huangpu,华润外滩九里 4室2厅 307.53平米,https://sh.lianjia.com/chengjiao/107105580336.html,东 南 北 | 精装,2024.05.31,4880万,高楼层(共24层) 2011年板楼,158684元/平,房屋满五年,挂牌5680万,成交周期664天,成丹,https://dianpu.lianjia.com/1000000022097158/
Huangpu,上海滩花园 2室2厅 109.01平米,https://sh.lianjia.com/chengjiao/107109560042.html,南 | 精装,2024.05.26,1483万,中楼层(共31层) 2007年板楼,136043元/平,"房屋满五年, 近地铁",挂牌1580万,成交周期34天,彭炜钛,https://dianpu.lianjia.com/1000000022106611/
Huangpu,滨江名人苑 2室1厅 114.99平米,https://sh.lianjia.com/chengjiao/107109315154.html,南 北 | 简装,2024.05.18,1329万,高楼层(共31层) 2004年板塔结合,115576元/平,"房屋满五年, 近地铁",挂牌1479万,成交周期58天,蔡靳,https://dianpu.lianjia.com/1000000022089427/
Huangpu,金外滩花园 2室2厅 136.37平米,https://sh.lianjia.com/chengjiao/107109502015.html,南 | 精装,2024.05.16,1630万,高楼层(共27层) 2006年板楼,119528元/平,"房屋满五年, 近地铁",挂牌1688万,成交周期33天,周娟娟,https://dianpu.lianjia.com/1000000022210250/
Huangpu,外滩公馆 3室2厅 154.45平米,https://sh.lianjia.com/chengjiao/107109532442.html,南 | 精装,2024.05.07,1880万,高楼层(共35层) 2015年板楼,121723元/平,"房屋满五年, 近地铁",挂牌1999万,成交周期19天,陈豪,https://dianpu.lianjia.com/1000000022110806/
Huangpu,滨江名人苑 2室2厅 130平米,https://sh.lianjia.com/chengjiao/107109497898.html,南 | 简装,2024.05.07,1515万,中楼层(共32层) 2004年板楼,116539元/平,房屋满五年,挂牌1588万,成交周期23天,巩曼利,https://dianpu.lianjia.com/1000000022160933/
Huangpu,海琪园 3室2厅 130.79平米,https://sh.lianjia.com/chengjiao/107104993090.html,南 | 精装,2024.04.21,1480万,高楼层(共31层) 2003年板楼,113159元/平,"房屋满五年, 近地铁",挂牌1750万,成交周期785天,杜胜香,https://dianpu.lianjia.com/1000000022190326/
Huangpu,上海滩花园 2室2厅 110.35平米,https://sh.lianjia.com/chengjiao/107109115644.html,南 | 精装,2024.04.17,1388万,高楼层(共31层) 2007年板楼,125782元/平,近地铁,挂牌1580万,成交周期50天,张超林,https://dianpu.lianjia.com/1000000030052479/
Huangpu,绿地名人坊 3室2厅 161.95平米,https://sh.lianjia.com/chengjiao/107108861779.html,南 北 | 简装,2024.04.16,1650万,高楼层(共17层) 2003年板楼,101884元/平,房屋满五年,挂牌1850万,成交周期102天,邓志恢,https://dianpu.lianjia.com/1000000022139324/
Huangpu,绿地名人坊 2室2厅 98.48平米,https://sh.lianjia.com/chengjiao/107107946696.html,南 | 精装,2024.04.10,1000万,低楼层(共17层) 2003年板楼,101544元/平,房屋满五年,挂牌1100万,成交周期221天,邓志恢,https://dianpu.lianjia.com/1000000022139324/
