district,title,link,location,size,orientation,rooms,floor,tags,brand,maintenance_time,price
Changning,整租·新泾四村 2室1厅 南,https://sh.lianjia.com/zufang/SH1913969241950781440.html,长宁 北新泾 新泾四村,-,-,,,"官方核验, 新上, 精装, 随时看房, 首次出租",贝壳优选,2天前维护,5460元/月
Changning,整租·天山华庭 1室1厅 南,https://sh.lianjia.com/zufang/SH1914201460644511744.html,长宁 天山 天山华庭,-,-,,,"官方核验, 新上, 近地铁, 精装",链家,今天维护,7500元/月
Changning,整租·邮局小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1689228595668451328.html,长宁 新华路 邮局小区,-,-,,,"官方核验, 月租, 近地铁, 随时看房",贝壳优选,2个月前维护,7038元/月
Changning,整租·天山河畔花园 2室1厅 南,https://sh.lianjia.com/zufang/SH1904469642768809984.html,长宁 天山 天山河畔花园,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 随时看房",曼舍,今天维护,20000元/月
Changning,整租·水霞小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1775822984838119424.html,长宁 仙霞 水霞小区,-,-,,,"近地铁, 随时看房",贝壳优选,22天前维护,5100元/月
Changning,整租·古北国际花园 1室1厅 南,https://sh.lianjia.com/zufang/SH1898770921808723968.html,长宁 古北 古北国际花园,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 随时看房",曼舍,今天维护,19600元/月
Changning,整租·东诸安浜路158弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1652593195571216384.html,长宁 镇宁路 东诸安浜路158弄,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,28天前维护,6120元/月
Changning,整租·镇宁路465弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1908165344296435712.html,长宁 镇宁路 镇宁路465弄,-,-,,,"官方核验, 近地铁, 精装, 随时看房",链家,2天前维护,5500元/月
Changning,整租·虹桥小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1700163702323412992.html,长宁 虹桥 虹桥小区,-,-,,,"月租, 近地铁, 精装, 随时看房",贝壳优选,22天前维护,6324元/月
Changning,整租·御翠豪庭 2室1厅 南,https://sh.lianjia.com/zufang/SH1853750103123165184.html,长宁 古北 御翠豪庭,-,-,,,"公寓, 月租, 拎包入住, 近地铁, 精装, 随时看房",曼舍,今天维护,27000元/月
Changning,整租·延北小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1695383763439058944.html,长宁 西郊 延北小区,-,-,,,"官方核验, 精装, 随时看房",贝壳优选,13天前维护,5380元/月
Changning,,,,,33.00㎡,1间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 有阳台, 开放厨房, 押一付一",中海友里,,6638元/月
Changning,整租·威宁小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1740375289227116544.html,长宁 仙霞 威宁小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,11天前维护,5700元/月
Changning,,,,,53.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",兴国公寓,,12000元/月
Changning,整租·新时空国际商务广场 1室0厅 东南,https://sh.lianjia.com/zufang/SH1668613998817312768.html,长宁 中山公园 新时空国际商务广场,-,-,,,"月租, 近地铁, 精装, 随时看房",贝壳优选,15天前维护,5860元/月
Changning,,,,,55.00㎡,1间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 押一付一",C9公寓,,4200元/月
Changning,整租·古北嘉年华庭 1室1厅 南/北,https://sh.lianjia.com/zufang/SH1745332877643481088.html,长宁 古北 古北嘉年华庭,-,-,,,"近地铁, 精装, 双卫生间, 随时看房",贝壳优选,5天前维护,8600元/月
Changning,整租·知雅园 2室1厅 南,https://sh.lianjia.com/zufang/SH1908415583863439360.html,长宁 天山 知雅园,-,-,,,"官方核验, 近地铁, 精装",链家,2天前维护,11000元/月
Changning,,,,,28.00㎡,2间在租,,"独栋公寓, 月租, 拎包入住, 精装, 开放厨房, 押一付一",创湾里公寓,,2850-3150元/月
Changning,整租·虹仙小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1722116035173154816.html,长宁 仙霞 虹仙小区,-,-,,,"精装, 随时看房",贝壳优选,12天前维护,5400元/月
Changning,整租·宣化路229号 1室1厅 南/北,https://sh.lianjia.com/zufang/SH1908536962835283968.html,长宁 中山公园 宣化路229号,-,-,,,"官方核验, 近地铁, 精装",链家,1天前维护,5800元/月
Changning,,,,,32.00-37.00㎡,2间在租,,"独栋公寓, 月租, 精装, 开放厨房, 押一付一",创湾里公寓,,3750-3900元/月
Changning,整租·威宁小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2660207990820577280.html,长宁 仙霞 威宁小区,-,-,,,"近地铁, 随时看房",贝壳优选,1个月前维护,5100元/月
Changning,,,,,26.00-30.00㎡,2间在租,,"独栋公寓, 月租, 精装, 开放厨房, 押一付一",创湾里公寓,,3450-3550元/月
