district,title,link,location,size,orientation,rooms,floor,tags,brand,maintenance_time,price
Hongkou,整租·前进小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1907117507437658112.html,虹口 北外滩 前进小区,-,-,,,"新上, 随时看房",贝壳优选,今天维护,6720元/月
Hongkou,整租·长江大楼 1室1厅 南,https://sh.lianjia.com/zufang/SH1906194744778686464.html,虹口 北外滩 长江大楼,-,-,,,"官方核验, 近地铁, 精装",链家,2天前维护,9000元/月
Hongkou,整租·东渡名人大厦 1室1厅 南,https://sh.lianjia.com/zufang/SH1651062160710696960.html,虹口 曲阳 东渡名人大厦,-,-,,,"月租, 近地铁, 精装, 随时看房",贝壳优选,14天前维护,5500元/月
Hongkou,,,,,28.00㎡,1间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 有阳台, 开放厨房, 押一付一",贝壳新青年公寓,,3640元/月
Hongkou,整租·新兴大厦 3室2厅 南,https://sh.lianjia.com/zufang/SH1651240904905719808.html,虹口 北外滩 新兴大厦,-,-,,,"月租, 近地铁, 双卫生间, 随时看房",贝壳优选,11天前维护,12240元/月
Hongkou,,,,,30.00㎡,1间在租,,"独栋公寓, 近地铁, 精装, 有阳台, 押一付一",贝壳新青年公寓,,4200元/月
Hongkou,整租·锦苑小区(虹口) 2室1厅 南,https://sh.lianjia.com/zufang/SH1785640778668703744.html,虹口 凉城 锦苑小区(虹口),-,-,,,"精装, 随时看房",贝壳优选,12天前维护,4692元/月
Hongkou,整租·何家宅小区 1室0厅 南,https://sh.lianjia.com/zufang/SH1906307293847224320.html,虹口 鲁迅公园 何家宅小区,-,-,,,"官方核验, 近地铁",链家,今天维护,3999元/月
Hongkou,整租·临平路80弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1617116948972175360.html,虹口 临平路 临平路80弄,-,-,,,"月租, 近地铁, 精装, 随时看房",贝壳优选,1个月前维护,6324元/月
Hongkou,,,,,40.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 有阳台, 押一付一",贝壳新青年公寓,,5681元/月
Hongkou,整租·忠烈小区 2室1厅 南/北,https://sh.lianjia.com/zufang/SH1816416590690779136.html,虹口 江湾镇 忠烈小区,-,-,,,"新上, 近地铁, 随时看房",贝壳优选,5天前维护,4692元/月
Hongkou,,,,,55.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳新青年公寓,,5150元/月
Hongkou,整租·万康家园 1室1厅 南,https://sh.lianjia.com/zufang/SH1757384155403911168.html,虹口 江湾镇 万康家园,-,-,,,随时看房,贝壳优选,1个月前维护,3672元/月
Hongkou,,,,,40.00㎡,2间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 有阳台, 押一付一",贝壳新青年公寓,,5000-6300元/月
Hongkou,整租·东体小区 1室0厅 北,https://sh.lianjia.com/zufang/SH1793863558312755200.html,虹口 曲阳 东体小区,-,-,,,"新上, 近地铁, 精装, 随时看房",贝壳优选,4天前维护,4080元/月
Hongkou,,,,,40.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 有阳台, 开放厨房, 押一付一",贝壳新青年公寓,,5000元/月
Hongkou,整租·金轩大邸 1室1厅 南,https://sh.lianjia.com/zufang/SH1612014123090968576.html,虹口 临平路 金轩大邸,-,-,,,"新上, 近地铁, 精装, 随时看房",贝壳优选,今天维护,9300元/月
Hongkou,整租·锦苑小区(虹口) 1室1厅 南,https://sh.lianjia.com/zufang/SH1905853707577196544.html,虹口 凉城 锦苑小区(虹口),-,-,,,"官方核验, 随时看房",链家,3天前维护,3700元/月
Hongkou,,,,,40.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳新青年公寓,,4992元/月
Hongkou,整租·锦苑小区(虹口) 1室1厅 南,https://sh.lianjia.com/zufang/SH1655780094267883520.html,虹口 凉城 锦苑小区(虹口),-,-,,,"月租, 精装, 随时看房",贝壳优选,21天前维护,4896元/月
Hongkou,整租·邮电二村 1室1厅 南,https://sh.lianjia.com/zufang/SH1906980890219642880.html,虹口 曲阳 邮电二村,-,-,,,"官方核验, 近地铁",链家,2天前维护,4600元/月
Hongkou,,,,,45.00㎡,2间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 押一付一",华尔福服务式公寓,,4800-5000元/月
Hongkou,整租·友谊二村 1室2厅 南,https://sh.lianjia.com/zufang/SH1736689415519993856.html,虹口 凉城 友谊二村,-,-,,,"近地铁, 随时看房",贝壳优选,10天前维护,4386元/月
Hongkou,,,,,45.00㎡,1间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 开放厨房, 押一付一",申林精品酒店公寓,,5300元/月
Hongkou,整租·大二小区 1室0厅 南,https://sh.lianjia.com/zufang/SH1611012473593266176.html,虹口 曲阳 大二小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,今天维护,3900元/月
Hongkou,,,,,30.00-32.00㎡,2间在租,,"独栋公寓, 近地铁, 精装, 押一付一",柚米寓,,4194-4663元/月
Hongkou,整租·大连小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1907388993071218688.html,虹口 临平路 大连小区,-,-,,,"官方核验, 近地铁, 精装",链家,3天前维护,7300元/月
Hongkou,整租·世博花园 1室2厅 南,https://sh.lianjia.com/zufang/SH1906615412691304448.html,虹口 鲁迅公园 世博花园,-,-,,,"官方核验, 精装",链家,4天前维护,10000元/月
Hongkou,整租·宝华城市花园 2室2厅 南,https://sh.lianjia.com/zufang/SH1906900757303525376.html,虹口 凉城 宝华城市花园,-,-,,,"官方核验, 精装, 随时看房",链家,1天前维护,8500元/月
Hongkou,整租·玉田新村 1室1厅 南,https://sh.lianjia.com/zufang/SH1906970545639915520.html,虹口 曲阳 玉田新村,-,-,,,"官方核验, 近地铁",链家,1天前维护,4000元/月
Hongkou,整租·万安路979弄 2室1厅 南,https://sh.lianjia.com/zufang/SH1909231804401844224.html,虹口 江湾镇 万安路979弄,-,-,,,"精装, 随时看房, 首次出租",贝壳优选,15天前维护,4500元/月
Hongkou,整租·蒋家桥路9号 2室1厅 南,https://sh.lianjia.com/zufang/SH1895034762624499712.html,虹口 曲阳 蒋家桥路9号,-,-,,,"官方核验, 近地铁, 随时看房",链家,5天前维护,4480元/月
Hongkou,整租·大二小区 1室0厅 南,https://sh.lianjia.com/zufang/SH1611012473593266176.html,虹口 曲阳 大二小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,今天维护,3900元/月
Hongkou,,,,,20.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 押一付一",优族服务式公寓,,2900元/月
Hongkou,整租·盛安家园 1室1厅 南,https://sh.lianjia.com/zufang/SH1655139861553741824.html,虹口 江湾镇 盛安家园,-,-,,,"月租, 精装, 随时看房",贝壳优选,10天前维护,6324元/月
Hongkou,,,,,48.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房",天虹丨猎户座,,7096元/月
Hongkou,整租·双东小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1656300976455286784.html,虹口 曲阳 双东小区,-,-,,,"近地铁, 随时看房",贝壳优选,13天前维护,4284元/月
Hongkou,整租·国贸花园 2室2厅 东南,https://sh.lianjia.com/zufang/SH1893956196654645248.html,虹口 四川北路 国贸花园,-,-,,,"官方核验, 近地铁, 精装, 随时看房",链家,4天前维护,9800元/月
Hongkou,整租·上农新村 1室1厅 南,https://sh.lianjia.com/zufang/SH1789295438629699584.html,虹口 曲阳 上农新村,-,-,,,"新上, 近地铁, 精装, 随时看房",贝壳优选,3天前维护,4794元/月
Hongkou,,,,,20.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 押一付一",北外滩176国际社区,,3200元/月
Hongkou,整租·逸仙小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1909098330508492800.html,虹口 江湾镇 逸仙小区,-,-,,,"近地铁, 随时看房, 首次出租",贝壳优选,16天前维护,3960元/月
Hongkou,整租·宇泰景苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1885345905494720512.html,虹口 临平路 宇泰景苑,-,-,,,"公寓, 月租, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,9260元/月
Hongkou,整租·场中路803弄 2室1厅 南,https://sh.lianjia.com/zufang/SH1793493677566328832.html,虹口 江湾镇 场中路803弄,-,-,,,"精装, 随时看房",贝壳优选,19天前维护,4080元/月
Hongkou,整租·春江小区(虹口) 1室1厅 南,https://sh.lianjia.com/zufang/SH1777378901543092224.html,虹口 江湾镇 春江小区(虹口),-,-,,,"公寓, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,4260元/月
Hongkou,整租·忠烈小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1909145450338844672.html,虹口 江湾镇 忠烈小区,-,-,,,"近地铁, 随时看房, 首次出租",贝壳优选,15天前维护,5040元/月
Hongkou,整租·商业一村 1室1厅 东,https://sh.lianjia.com/zufang/SH1878808776576860160.html,虹口 鲁迅公园 商业一村,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,3190元/月
Hongkou,整租·双东小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1816377440159662080.html,虹口 曲阳 双东小区,-,-,,,"新上, 近地铁, 随时看房",贝壳优选,2天前维护,4200元/月
Hongkou,整租·瑞虹新城(三期) 2室2厅 南,https://sh.lianjia.com/zufang/SH1896461668821499904.html,虹口 临平路 瑞虹新城(三期),-,-,,,"官方核验, 近地铁, 精装, 双卫生间, 随时看房",链家,1天前维护,13500元/月
Hongkou,整租·飘鹰东方花园 2室1厅 西,https://sh.lianjia.com/zufang/SH1816533613743702016.html,虹口 曲阳 飘鹰东方花园,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,11490元/月
Hongkou,整租·新中新村 1室0厅 北,https://sh.lianjia.com/zufang/SH1763499152945184768.html,虹口 凉城 新中新村,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,15天前维护,3500元/月
Hongkou,整租·临平路250弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1897847028436697088.html,虹口 临平路 临平路250弄,-,-,,,"官方核验, 近地铁, 精装",链家,4天前维护,5000元/月
Hongkou,整租·虹口典范 2室1厅 东,https://sh.lianjia.com/zufang/SH1883326574497890304.html,虹口 临平路 虹口典范,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,11290元/月
Hongkou,整租·东方公寓(虹口) 2室2厅 南,https://sh.lianjia.com/zufang/SH1781931014671564800.html,虹口 江湾镇 东方公寓(虹口),-,-,,,"近地铁, 随时看房",贝壳优选,7天前维护,6324元/月
Hongkou,整租·临平路60弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1896959577841205248.html,虹口 临平路 临平路60弄,-,-,,,"公寓, 月租, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,4782元/月
Hongkou,整租·水电小区 1室0厅 南,https://sh.lianjia.com/zufang/SH1781609167199404032.html,虹口 凉城 水电小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,11天前维护,3570元/月
Hongkou,整租·广中扩大小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1887153401884573696.html,虹口 凉城 广中扩大小区,-,-,,,"公寓, 月租, 拎包入住, 精装, 押一付一, 随时看房",自如,今天维护,3590元/月
Hongkou,整租·金枫里 2室1厅 南/北,https://sh.lianjia.com/zufang/SH1896093061465767936.html,虹口 江湾镇 金枫里,-,-,,,"官方核验, 精装, 随时看房",链家,1天前维护,5800元/月
Hongkou,整租·嘉宏紫薇园 3室2厅 南,https://sh.lianjia.com/zufang/SH1914568279700013056.html,虹口 鲁迅公园 嘉宏紫薇园,-,-,,,"官方核验, 业主自荐, 新上, 近地铁, 双卫生间, 随时看房",链家,今天维护,11800元/月
Hongkou,整租·新三小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1914537749197619200.html,虹口 江湾镇 新三小区,-,-,,,"官方核验, 业主自荐, 新上, 近地铁, 精装",链家,今天维护,5000元/月
Hongkou,整租·建邦16区 3室2厅 南,https://sh.lianjia.com/zufang/SH1913101739976818688.html,虹口 临平路 建邦16区,-,-,,,"官方核验, 新上, 近地铁, 精装, 双卫生间",链家,今天维护,18500元/月
Hongkou,整租·玉田新村 2室1厅 南,https://sh.lianjia.com/zufang/SH1913849579363631104.html,虹口 曲阳 玉田新村,-,-,,,"新上, 近地铁, 精装, 随时看房, 首次出租",贝壳优选,2天前维护,5880元/月
Hongkou,整租·双东小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1905085455318122496.html,虹口 曲阳 双东小区,-,-,,,"官方核验, 近地铁, 精装, 随时看房",链家,3天前维护,4700元/月
Hongkou,整租·万安路979弄 2室1厅 南,https://sh.lianjia.com/zufang/SH1909231804401844224.html,虹口 江湾镇 万安路979弄,-,-,,,"精装, 随时看房, 首次出租",贝壳优选,15天前维护,4500元/月
Hongkou,整租·临平路60弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1896959577841205248.html,虹口 临平路 临平路60弄,-,-,,,"公寓, 月租, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,4782元/月
