district,title,link,location,size,orientation,rooms,floor,tags,brand,maintenance_time,price
Huangpu,整租·北蒙三小区 1室1厅 北,https://sh.lianjia.com/zufang/SH1775083807850889216.html,黄浦 五里桥 北蒙三小区,-,-,,,"官方核验, 近地铁, 精装, 随时看房",贝壳优选,1个月前维护,4400元/月
Huangpu,整租·中福花苑 1室1厅 南,https://sh.lianjia.com/zufang/SH1793219397540642816.html,黄浦 蓬莱公园 中福花苑,-,-,,,"官方核验, 近地铁, 精装",链家,4天前维护,6000元/月
Huangpu,整租·东业大厦 2室1厅 南,https://sh.lianjia.com/zufang/SH1628382629633982464.html,黄浦 豫园 东业大厦,-,-,,,"月租, 近地铁, 精装, 随时看房",贝壳优选,1个月前维护,12954元/月
Huangpu,整租·卢湾都市花园 3室2厅 南,https://sh.lianjia.com/zufang/SH1912791307433017344.html,黄浦 五里桥 卢湾都市花园,,-,-,,"新上, 公寓, 拎包入住, 近地铁, 精装, 随时看房",紫寓,今天维护,17800元/月
Huangpu,整租·先棉祠街小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1850454741520220160.html,黄浦 豫园 先棉祠街小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,17天前维护,5200元/月
Huangpu,整租·华润外滩九里 1室1厅 南,https://sh.lianjia.com/zufang/SH1872498171934932992.html,黄浦 黄浦滨江 华润外滩九里,,-,-,,"公寓, 近地铁, 精装, 随时看房",润生活,7天前维护,16500元/月
Huangpu,整租·东淮海公寓 1室1厅 南,https://sh.lianjia.com/zufang/SH1603616360745664512.html,黄浦 豫园 东淮海公寓,-,-,,,"月租, 精装, 随时看房",贝壳优选,6天前维护,11600元/月
Huangpu,整租·大众汽车公寓 2室2厅 南,https://sh.lianjia.com/zufang/SH1906336806987628544.html,黄浦 五里桥 大众汽车公寓,-,-,,,"官方核验, 近地铁, 精装",链家,7天前维护,10000元/月
Huangpu,整租·金中苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1706617554623004672.html,黄浦 世博滨江 金中苑,-,-,,,"月租, 精装, 随时看房",贝壳优选,18天前维护,8800元/月
Huangpu,整租·华润外滩九里 3室2厅 南,https://sh.lianjia.com/zufang/SH1913072700574662656.html,黄浦 黄浦滨江 华润外滩九里,,-,-,,"新上, 公寓, 近地铁, 双卫生间",润生活,4天前维护,32000元/月
Huangpu,整租·丽园路514弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1780902662405881856.html,黄浦 五里桥 丽园路514弄,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,15天前维护,5891元/月
Huangpu,,,,,20.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳租房,,5200元/月
Huangpu,整租·济南路9号 1室2厅 东,https://sh.lianjia.com/zufang/SH1836393929210068992.html,黄浦 新天地 济南路9号,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,13天前维护,16200元/月
Huangpu,整租·璞玉ONE 3室1厅 南,https://sh.lianjia.com/zufang/SH1825445218812428288.html,黄浦 豫园 璞玉ONE,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 随时看房",曼舍,今天维护,29000元/月
Huangpu,整租·耀江花园 3室2厅 南/北,https://sh.lianjia.com/zufang/SH1912131721323610112.html,黄浦 世博滨江 耀江花园,-,-,,,"近地铁, 精装, 双卫生间, 随时看房, 首次出租",贝壳优选,7天前维护,17800元/月
Huangpu,整租·嘉华豪庭 3室1厅 西,https://sh.lianjia.com/zufang/SH1883896355324166144.html,黄浦 淮海中路 嘉华豪庭,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 随时看房",曼舍,今天维护,30000元/月
Huangpu,整租·巴黎公寓 1室1厅 南,https://sh.lianjia.com/zufang/SH1849808454550552576.html,黄浦 新天地 巴黎公寓,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,17天前维护,7200元/月
Huangpu,整租·五岭小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1908125871793766400.html,黄浦 打浦桥 五岭小区,-,-,,,"官方核验, 近地铁, 精装, 随时看房",链家,2天前维护,5500元/月
Huangpu,整租·新家坡园景苑 3室1厅 南,https://sh.lianjia.com/zufang/SH1886054676843986944.html,黄浦 五里桥 新家坡园景苑,-,-,,,"公寓, 拎包入住, 精装, 随时看房",曼舍,今天维护,26300元/月
Huangpu,整租·花园坊 1室1厅 南,https://sh.lianjia.com/zufang/SH1900517320665595904.html,黄浦 淮海中路 花园坊,-,-,,,"官方核验, 随时看房, 首次出租",贝壳优选,10天前维护,5100元/月
Huangpu,整租·中福浦江汇 1室1厅 东南/南,https://sh.lianjia.com/zufang/SH1907778169981632512.html,黄浦 蓬莱公园 中福浦江汇,-,-,,,"官方核验, 近地铁, 精装",链家,1天前维护,7500元/月
Huangpu,整租·淡水湾花园 3室1厅 东,https://sh.lianjia.com/zufang/SH1914227318608363520.html,黄浦 新天地 淡水湾花园,-,-,,,"新上, 公寓, 拎包入住, 近地铁, 精装, 双卫生间, 随时看房",曼舍,今天维护,32600元/月
Huangpu,整租·打浦路303弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1642863185084022784.html,黄浦 打浦桥 打浦路303弄,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,4天前维护,4700元/月
Huangpu,整租·融创滨江壹号院 3室2厅 南,https://sh.lianjia.com/zufang/SH1909843134041292800.html,黄浦 世博滨江 融创滨江壹号院,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 随时看房",紫寓,今天维护,35000元/月
Huangpu,整租·梅兰坊 1室1厅 东南/南,https://sh.lianjia.com/zufang/SH1831698741719990272.html,黄浦 新天地 梅兰坊,-,-,,,"新上, 近地铁, 随时看房",贝壳优选,2天前维护,5610元/月
