district,title,link,location,size,orientation,rooms,floor,tags,brand,maintenance_time,price
Jing'an,整租·百乐小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1610236369177673728.html,静安 静安寺 百乐小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,19天前维护,9741元/月
Jing'an,整租·中山北路805弄 2室1厅 南,https://sh.lianjia.com/zufang/SH1911981826541355008.html,静安 大宁 中山北路805弄,-,-,,,"官方核验, 业主自荐, 精装",链家,1天前维护,6000元/月
Jing'an,整租·一天下大厦 1室1厅 南,https://sh.lianjia.com/zufang/SH1672991781274255360.html,静安 不夜城 一天下大厦,-,-,,,"新上, 月租, 近地铁, 精装, 随时看房",贝壳优选,今天维护,5900元/月
Jing'an,,,,,20.00-25.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳海盐公寓,,4383-4791元/月
Jing'an,整租·龙盛佳苑 1室1厅 南,https://sh.lianjia.com/zufang/SH1683465700082974720.html,静安 阳城 龙盛佳苑,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,21天前维护,5000元/月
Jing'an,,,,,20.00-25.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳海盐公寓,,5115-5159元/月
Jing'an,整租·同济佳苑 1室1厅 南,https://sh.lianjia.com/zufang/SH1675798918677397504.html,静安 曹家渡 同济佳苑,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,今天维护,3500元/月
Jing'an,整租·洛平小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1913901538833596416.html,静安 闸北公园 洛平小区,-,-,,,"官方核验, 新上, 近地铁, 精装, 随时看房",链家,1天前维护,4800元/月
Jing'an,整租·绿苑公寓 2室2厅 南/北,https://sh.lianjia.com/zufang/SH1662416694242443264.html,静安 大宁 绿苑公寓,-,-,,,"官方核验, 月租, 精装, 双卫生间, 随时看房",贝壳优选,10天前维护,7700元/月
Jing'an,,,,,20.00-25.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 押一付一",贝壳海盐公寓,,4383-4791元/月
Jing'an,整租·康泉小区 2室1厅 西南,https://sh.lianjia.com/zufang/SH1635966340437114880.html,静安 彭浦 康泉小区,-,-,,,"月租, 精装, 随时看房",贝壳优选,1个月前维护,5100元/月
Jing'an,,,,,32.00-35.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 押一付一",贝壳海盐公寓,,4536-4573元/月
Jing'an,整租·临汾路1515弄 2室2厅 南,https://sh.lianjia.com/zufang/SH1731891353450708992.html,静安 彭浦 临汾路1515弄,-,-,,,"官方核验, 随时看房",贝壳优选,21天前维护,4386元/月
