district,title,link,location,size,orientation,rooms,floor,tags,brand,maintenance_time,price
Pudong,整租·万科清林径 2室2厅 南,https://sh.lianjia.com/zufang/SH1789728191489769472.html,浦东 新场 万科清林径,-,-,,,"新上, 精装, 随时看房",贝壳优选,今天维护,3468元/月
Pudong,整租·鹤沙航城众惠苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1912705370170589184.html,浦东 航头 鹤沙航城众惠苑,-,-,,,"新上, 精装",链家,1天前维护,4200元/月
Pudong,整租·潍坊四村 1室0厅 南,https://sh.lianjia.com/zufang/SH1737049049099403264.html,浦东 潍坊 潍坊四村,-,-,,,"近地铁, 随时看房",贝壳优选,10天前维护,4400元/月
Pudong,,,,,32.00㎡,5间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 开放厨房",方隅公寓,,7100元/月
Pudong,整租·东方滨港园 2室2厅 南/北,https://sh.lianjia.com/zufang/SH1736366981411504128.html,浦东 杨思前滩 东方滨港园,-,-,,,"官方核验, 精装, 双卫生间, 随时看房",贝壳优选,25天前维护,7000元/月
Pudong,,,,,33.00㎡,1间在租,,"独栋公寓, 拎包入住, 近地铁, 精装, 开放厨房",方隅公寓,,6600元/月
Pudong,整租·凌兆新村(上浦路69弄) 2室1厅 南/北,https://sh.lianjia.com/zufang/SH1738112567269654528.html,浦东 三林 凌兆新村(上浦路69弄),-,-,,,"官方核验, 近地铁, 随时看房",贝壳优选,1个月前维护,4800元/月
Pudong,整租·仁怡苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1913930810868629504.html,浦东 康桥 仁怡苑,-,-,,,"业主自荐, 新上, 精装",链家,1天前维护,5000元/月
Pudong,整租·潍坊六村 1室1厅 南,https://sh.lianjia.com/zufang/SH1685208546150449152.html,浦东 潍坊 潍坊六村,-,-,,,"官方核验, 月租, 近地铁, 精装, 随时看房",贝壳优选,23天前维护,5200元/月
Pudong,,,,,32.00㎡,3间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 押一付一",枫林水岸公寓,,2300元/月
Pudong,整租·古春苑 3室2厅 南,https://sh.lianjia.com/zufang/SH1650545936323051520.html,浦东 新场 古春苑,-,-,,,"月租, 双卫生间, 随时看房",贝壳优选,11天前维护,3774元/月
Pudong,,,,,32.00㎡,3间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 开放厨房, 押一付一",枫林水岸公寓,,2200元/月
Pudong,整租·东方吉苑 1室1厅 南,https://sh.lianjia.com/zufang/SH1720334115204497408.html,浦东 杨思前滩 东方吉苑,-,-,,,"官方核验, 精装, 随时看房",贝壳优选,26天前维护,5080元/月
Pudong,,,,,28.00㎡,1间在租,,"新上, 独栋公寓, 月租, 拎包入住, 近地铁, 精装, 开放厨房, 押一付一",枫林水岸公寓,,2200元/月
Pudong,整租·金杨新村九街坊 1室0厅 南,https://sh.lianjia.com/zufang/SH1785611395069378560.html,浦东 金杨 金杨新村九街坊,-,-,,,随时看房,贝壳优选,5天前维护,4400元/月
Pudong,,,,,30.49㎡,1间在租,,"新上, 独栋公寓, 拎包入住, 精装, 有阳台, 开放厨房",纳仕,,3161元/月
Pudong,整租·工农新村(新场) 2室2厅 南,https://sh.lianjia.com/zufang/SH1676504112335683584.html,浦东 新场 工农新村(新场),-,-,,,"月租, 随时看房",贝壳优选,27天前维护,3009元/月
Pudong,整租·雪野二村 2室1厅 南,https://sh.lianjia.com/zufang/SH1914183045477302272.html,浦东 世博 雪野二村,-,-,,,"新上, 近地铁, 精装",链家,今天维护,6200元/月
Pudong,,,,,40.72㎡,1间在租,,"独栋公寓, 拎包入住, 精装, 有阳台, 开放厨房",纳仕,,3979元/月
Pudong,整租·颐盛云锦苑 3室2厅 南,https://sh.lianjia.com/zufang/SH1700172264172945408.html,浦东 御桥 颐盛云锦苑,-,-,,,"月租, 精装, 双卫生间, 随时看房",贝壳优选,25天前维护,8500元/月
Pudong,整租·山水国际 3室2厅 南,https://sh.lianjia.com/zufang/SH1914527555671556096.html,浦东 源深 山水国际,-,-,,,"官方核验, 新上, 月租, 近地铁, 精装, 双卫生间",链家,今天维护,11000元/月
Pudong,,,,,20.46㎡,1间在租,,"独栋公寓, 拎包入住, 精装, 有阳台, 开放厨房",纳仕,,2959元/月
Pudong,整租·东三小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1717753582125580288.html,浦东 南码头 东三小区,-,-,,,"官方核验, 随时看房",贝壳优选,15天前维护,4182元/月
Pudong,,,,6间在租,1室0厅1卫,,,"独栋公寓, 近地铁, 精装, 有阳台, 开放厨房, 押一付一",华润置地·有巢公寓,,2220-2367元/月
Pudong,整租·御景华庭 3室2厅 南,https://sh.lianjia.com/zufang/SH1687022082057043968.html,浦东 川沙 御景华庭,-,-,,,"近地铁, 精装, 双卫生间, 随时看房",贝壳优选,7天前维护,9580元/月
Pudong,,,,12间在租,1室0厅1卫,,,"独栋公寓, 近地铁, 精装, 有阳台, 开放厨房, 押一付一",华润置地·有巢公寓,,1994-2238元/月
Pudong,整租·临沂七村 2室1厅 南,https://sh.lianjia.com/zufang/SH1913535718076973056.html,浦东 南码头 临沂七村,-,-,,,"官方核验, 新上, 精装, 随时看房",链家,2天前维护,5800元/月
Pudong,整租·梅园一街坊 1室1厅 南,https://sh.lianjia.com/zufang/SH1914188166319833088.html,浦东 梅园 梅园一街坊,-,-,,,"官方核验, 业主自荐, 新上, 近地铁, 随时看房",链家,今天维护,5200元/月
Pudong,整租·东方城市花园(二期) 1室1厅 南,https://sh.lianjia.com/zufang/SH1912714685405200384.html,浦东 南码头 东方城市花园(二期),-,-,,,"官方核验, 新上, 精装",链家,今天维护,8500元/月
Pudong,整租·艾山新村 2室1厅 南,https://sh.lianjia.com/zufang/SH1904135053189840896.html,浦东 金杨 艾山新村,-,-,,,"官方核验, 精装",链家,今天维护,5500元/月
Pudong,整租·崂山新村 2室1厅 南,https://sh.lianjia.com/zufang/SH1907331711893504000.html,浦东 梅园 崂山新村,-,-,,,"近地铁, 精装, 随时看房, 首次出租",贝壳优选,4天前维护,5698元/月
Pudong,整租·世茂湖滨花园(公寓) 2室2厅 南,https://sh.lianjia.com/zufang/SH1768213138580176896.html,浦东 碧云 世茂湖滨花园(公寓),-,-,,,"官方核验, 精装, 双卫生间",链家,1天前维护,15000元/月
Pudong,整租·凌高小区 3室1厅 南,https://sh.lianjia.com/zufang/SH1767929386356441088.html,浦东 洋泾 凌高小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,5天前维护,6900元/月
Pudong,,,,,31.00㎡,2间在租,,"独栋公寓, 精装, 有阳台, 开放厨房",浦发有家,,2504-2654元/月
Pudong,整租·泾南教师公寓 2室2厅 南/北,https://sh.lianjia.com/zufang/SH1768458911238586368.html,浦东 洋泾 泾南教师公寓,-,-,,,"近地铁, 随时看房",贝壳优选,22天前维护,8058元/月
Pudong,,,,,31.00㎡,2间在租,,"独栋公寓, 精装, 有阳台, 开放厨房",浦发有家,,2450-2660元/月
Pudong,整租·东方冠郡一期 2室2厅 南,https://sh.lianjia.com/zufang/SH1763815290828750848.html,浦东 新场 东方冠郡一期,-,-,,,"精装, 随时看房",贝壳优选,20天前维护,3774元/月
Pudong,整租·三林苑（一期） 2室1厅 南,https://sh.lianjia.com/zufang/SH1792876540858466304.html,浦东 三林 三林苑（一期）,-,-,,,随时看房,链家,2天前维护,6000元/月
Pudong,整租·民乐城丽园 1室1厅 南,https://sh.lianjia.com/zufang/SH1761030534093340672.html,浦东 惠南 民乐城丽园,-,-,,,随时看房,贝壳优选,20天前维护,1938元/月
Pudong,,,,,29.00㎡,3间在租,,"独栋公寓, 月租, 精装, 有阳台, 开放厨房",森邻寓,,2788-3097元/月
Pudong,整租·梅园新村(浦东) 2室1厅 南,https://sh.lianjia.com/zufang/SH1914000350617010176.html,浦东 梅园 梅园新村(浦东),-,-,,,"官方核验, 新上, 近地铁, 随时看房, 首次出租",贝壳优选,2天前维护,5860元/月
Pudong,,,,,34.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳海盐公寓,,4100元/月
Pudong,整租·碧云东壹栋 1室1厅 东/东南,https://sh.lianjia.com/zufang/SH1768476412294987776.html,浦东 金桥 碧云东壹栋,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,1个月前维护,5600元/月
Pudong,,,,,33.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳海盐公寓,,4500元/月
