district,title,link,location,size,orientation,rooms,floor,tags,brand,maintenance_time,price
Putuo,整租·和丰苑 1室1厅 南,https://sh.lianjia.com/zufang/SH1852601204228489216.html,普陀 甘泉宜川 和丰苑,-,-,,,"新上, 近地铁, 精装, 随时看房",贝壳优选,3天前维护,5814元/月
Putuo,整租·桂巷新村 1室1厅 南,https://sh.lianjia.com/zufang/SH1913184031676039168.html,普陀 长风 桂巷新村,-,-,,,"官方核验, 业主自荐, 新上, 近地铁",链家,今天维护,4500元/月
Putuo,整租·曹杨四村(枣阳园) 2室0厅 南,https://sh.lianjia.com/zufang/SH1757702842535116800.html,普陀 曹杨 曹杨四村(枣阳园),-,-,,,"官方核验, 近地铁, 随时看房",贝壳优选,4天前维护,5100元/月
Putuo,,,,,138.00㎡,2间在租,,"独栋公寓, 近地铁, 精装, 开放厨房, 押一付一",星荟公寓,,18800-19300元/月
Putuo,整租·华府樟园 1室1厅 南,https://sh.lianjia.com/zufang/SH1794759018456023040.html,普陀 武宁 华府樟园,-,-,,,"官方核验, 近地铁, 精装, 随时看房",贝壳优选,今天维护,10500元/月
Putuo,,,,,96.00㎡,1间在租,,"独栋公寓, 近地铁, 精装, 开放厨房, 押一付一",星荟公寓,,16500元/月
Putuo,整租·真源小区 2室1厅 南/北,https://sh.lianjia.com/zufang/SH1723254269609508864.html,普陀 长征 真源小区,-,-,,,"精装, 随时看房",贝壳优选,21天前维护,6834元/月
Putuo,整租·兰田新村 1室1厅 南,https://sh.lianjia.com/zufang/SH1913588813460930560.html,普陀 真如 兰田新村,-,-,,,"官方核验, 新上, 近地铁, 精装, 随时看房",链家,2天前维护,4600元/月
Putuo,整租·甘泉三村 1室0厅 北,https://sh.lianjia.com/zufang/SH1657962031728295936.html,普陀 甘泉宜川 甘泉三村,-,-,,,"官方核验, 月租, 近地铁, 随时看房",贝壳优选,1个月前维护,3774元/月
Putuo,,,,,22.00㎡,1间在租,,"独栋公寓, 月租, 精装",魔方公寓,,2300元/月
Putuo,整租·清涧四街坊 2室1厅 南,https://sh.lianjia.com/zufang/SH1913257410386984960.html,普陀 真光 清涧四街坊,-,-,,,"官方核验, 新上, 随时看房, 首次出租",贝壳优选,4天前维护,5040元/月
Putuo,,,,,30.00㎡,1间在租,,"独栋公寓, 月租, 精装, 开放厨房, 押一付一",柚米寓,,2581元/月
Putuo,整租·恒盛鼎城华公馆 2室2厅 南/北,https://sh.lianjia.com/zufang/SH1750058354404753408.html,普陀 桃浦 恒盛鼎城华公馆,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,25天前维护,7650元/月
Putuo,,,,,34.00㎡,1间在租,,"独栋公寓, 月租, 精装, 开放厨房, 押一付一",柚米寓,,2873元/月
Putuo,整租·宋家滩小区 2室0厅 南,https://sh.lianjia.com/zufang/SH1833085224364277760.html,普陀 长风 宋家滩小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,4天前维护,4590元/月
Putuo,,,,,21.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 押一付一",城家公寓,,4100元/月
Putuo,整租·曹杨三村(兰岭园) 2室1厅 南,https://sh.lianjia.com/zufang/SH1757673256040529920.html,普陀 曹杨 曹杨三村(兰岭园),-,-,,,"近地铁, 随时看房",贝壳优选,3个月前维护,4800元/月
Putuo,整租·中星海上名庭(一期) 2室2厅 南,https://sh.lianjia.com/zufang/SH1890619451934507008.html,普陀 长风 中星海上名庭(一期),-,-,,,"官方核验, 近地铁",链家,8天前维护,9500元/月
Putuo,,,,,24.00㎡,1间在租,,"独栋公寓, 月租, 拎包入住, 精装, 开放厨房, 押一付一",红豆公寓,,3200元/月
Putuo,整租·金江家园 2室2厅 南/北,https://sh.lianjia.com/zufang/SH1766426476397199360.html,普陀 长征 金江家园,-,-,,,"精装, 随时看房",贝壳优选,20天前维护,6630元/月
Putuo,整租·苏河望 3室2厅 南,https://sh.lianjia.com/zufang/SH1890623401391816704.html,普陀 光新 苏河望,-,-,,,"官方核验, 近地铁, 精装, 双卫生间",链家,今天维护,14000元/月
Putuo,,,,,41.00㎡,1间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 有阳台, 押一付一",HRO创享,,4080元/月
Putuo,整租·大洋新村 2室1厅 南,https://sh.lianjia.com/zufang/SH1713463447405985792.html,普陀 甘泉宜川 大洋新村,-,-,,,"月租, 近地铁, 精装, 随时看房",贝壳优选,25天前维护,4896元/月
Putuo,整租·桃浦七村雪松苑 1室1厅 南,https://sh.lianjia.com/zufang/SH1882425485074366464.html,普陀 桃浦 桃浦七村雪松苑,-,-,,,"公寓, 月租, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,3356元/月
Putuo,整租·东旺家苑 3室2厅 南,https://sh.lianjia.com/zufang/SH2562127963718164480.html,普陀 长征 东旺家苑,-,-,,,"精装, 双卫生间, 随时看房",贝壳优选,12天前维护,9588元/月
Putuo,整租·桃浦七村雪松苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1795494125420675072.html,普陀 桃浦 桃浦七村雪松苑,-,-,,,"公寓, 拎包入住, 近地铁, 精装, 押一付一, 随时看房",自如,今天维护,4160元/月
Putuo,整租·车站新村(普陀) 1室1厅 南,https://sh.lianjia.com/zufang/SH1892196944072146944.html,普陀 真如 车站新村(普陀),-,-,,,"官方核验, 近地铁, 精装",链家,5天前维护,4800元/月
Putuo,整租·白大楼 2室1厅 南,https://sh.lianjia.com/zufang/SH1892213284803706880.html,普陀 武宁 白大楼,-,-,,,"官方核验, 近地铁",链家,4天前维护,7500元/月
Putuo,整租·石泉路1号 2室1厅 南,https://sh.lianjia.com/zufang/SH1892524549610668032.html,普陀 光新 石泉路1号,-,-,,,"官方核验, 近地铁",链家,今天维护,6100元/月
