district,title,link,location,size,orientation,rooms,floor,tags,brand,maintenance_time,price
Xuhui,整租·鑫龙苑 2室2厅 南,https://sh.lianjia.com/zufang/SH1914879837248421888.html,徐汇 植物园 鑫龙苑,-,-,,,"新上, 近地铁, 双卫生间, 随时看房, 首次出租",贝壳优选,今天维护,7875元/月
Xuhui,整租·陇南小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1914520282874249216.html,徐汇 华东理工 陇南小区,-,-,,,"官方核验, 新上, 精装",链家,今天维护,4200元/月
Xuhui,整租·钦州花苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1808507692768034816.html,徐汇 田林 钦州花苑,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,21天前维护,6936元/月
Xuhui,,,,,33.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 有阳台, 开放厨房, 押一付一",贝壳海盐公寓,,7717元/月
Xuhui,整租·日晖二村 1室1厅 南,https://sh.lianjia.com/zufang/SH1803437340488630272.html,徐汇 斜土路 日晖二村,-,-,,,随时看房,贝壳优选,6天前维护,5300元/月
Xuhui,,,,,10.00-11.00㎡,4间在租,,"独栋公寓, 月租, 近地铁, 精装, 押一付一",贝壳新青年公寓,,2540-2840元/月
Xuhui,整租·寿祥坊 2室1厅 东南,https://sh.lianjia.com/zufang/SH1809556456328921088.html,徐汇 康健 寿祥坊,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,1个月前维护,6400元/月
Xuhui,整租·华鼎广场 2室2厅 南,https://sh.lianjia.com/zufang/SH1914198677405040640.html,徐汇 田林 华鼎广场,-,-,,,"官方核验, 业主自荐, 新上, 近地铁, 精装",链家,今天维护,10200元/月
Xuhui,整租·田林十四村 1室0厅 南,https://sh.lianjia.com/zufang/SH1865344822965960704.html,徐汇 田林 田林十四村,-,-,,,"近地铁, 随时看房",贝壳优选,21天前维护,5000元/月
Xuhui,,,,,55.00㎡,2间在租,,"独栋公寓, 拎包入住, 近地铁, 精装, 有阳台, 开放厨房, 押一付一",壹间公寓,,6650-7300元/月
Xuhui,整租·寿祥坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2549955468374319104.html,徐汇 康健 寿祥坊,-,-,,,"新上, 精装, 随时看房",贝壳优选,3天前维护,5100元/月
Xuhui,,,,,75.00㎡,2间在租,,"独栋公寓, 拎包入住, 近地铁, 精装, 有阳台, 押一付一",壹间公寓,,9300-9600元/月
Xuhui,整租·桂林苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1808437933292650496.html,徐汇 漕河泾 桂林苑,-,-,,,"官方核验, 近地铁, 精装, 随时看房",贝壳优选,21天前维护,7900元/月
Xuhui,,,,,45.00㎡,2间在租,,"独栋公寓, 近地铁, 精装, 有阳台, 押一付一",壹间公寓,,6000-6350元/月
Xuhui,整租·田林十一村 1室1厅 南,https://sh.lianjia.com/zufang/SH1786271036182888448.html,徐汇 田林 田林十一村,-,-,,,"新上, 近地铁, 精装, 随时看房",贝壳优选,6天前维护,5508元/月
Xuhui,,,,,18.00㎡,2间在租,,"独栋公寓, 近地铁, 精装, 开放厨房, 押一付一",贝壳新青年公寓,,3000-3080元/月
Xuhui,整租·东航公寓 1室1厅 南,https://sh.lianjia.com/zufang/SH1814921688593203200.html,徐汇 徐家汇 东航公寓,-,-,,,"近地铁, 随时看房",贝壳优选,12天前维护,5380元/月
Xuhui,整租·炎虹路76弄 1室1厅 南,https://sh.lianjia.com/zufang/SH1913604832015417344.html,徐汇 斜土路 炎虹路76弄,-,-,,,"官方核验, 业主自荐, 新上, 近地铁, 精装, 随时看房",链家,今天维护,5800元/月
Xuhui,,,,,16.00-18.00㎡,2间在租,,"独栋公寓, 近地铁, 精装, 开放厨房, 押一付一",贝壳新青年公寓,,2790-3700元/月
Xuhui,整租·名人花苑 2室1厅 南/北,https://sh.lianjia.com/zufang/SH1895366341074878464.html,徐汇 华泾 名人花苑,-,-,,,"新上, 随时看房",贝壳优选,2天前维护,4725元/月
Xuhui,整租·枫林新村 2室2厅 南,https://sh.lianjia.com/zufang/SH1908016881055301632.html,徐汇 斜土路 枫林新村,-,-,,,"官方核验, 近地铁, 精装, 随时看房",链家,1天前维护,8600元/月
Xuhui,,,,,20.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳新青年公寓,,3080-3150元/月
Xuhui,整租·狮城花苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1898605674502291456.html,徐汇 龙华 狮城花苑,-,-,,,"官方核验, 近地铁, 随时看房, 首次出租",贝壳优选,24天前维护,6700元/月
Xuhui,,,,,20.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",贝壳新青年公寓,,3080-3150元/月
Xuhui,整租·龙南三四村 2室1厅 南/北,https://sh.lianjia.com/zufang/SH1808490274347810816.html,徐汇 龙华 龙南三四村,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,4天前维护,6200元/月
Xuhui,整租·汇景苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1914226915326033920.html,徐汇 建国西路 汇景苑,-,-,,,"新上, 公寓, 拎包入住, 精装, 随时看房",曼舍,今天维护,18900元/月
Xuhui,整租·金龙花苑玫瑰园 1室1厅 南,https://sh.lianjia.com/zufang/SH1908019182767702016.html,徐汇 龙华 金龙花苑玫瑰园,-,-,,,"官方核验, 近地铁, 精装, 随时看房",链家,3天前维护,5500元/月
Xuhui,整租·田林三四村 1室1厅 南,https://sh.lianjia.com/zufang/SH1908010299215052800.html,徐汇 田林 田林三四村,-,-,,,"官方核验, 近地铁, 精装",链家,1天前维护,6000元/月
Xuhui,整租·汇成一村 1室1厅 南,https://sh.lianjia.com/zufang/SH1908063882925047808.html,徐汇 上海南站 汇成一村,-,-,,,官方核验,链家,1天前维护,4000元/月
Xuhui,整租·梅陇九村 1室1厅 南,https://sh.lianjia.com/zufang/SH1908078928971431936.html,徐汇 华东理工 梅陇九村,-,-,,,"官方核验, 随时看房",链家,6天前维护,4500元/月
Xuhui,整租·长丰坊 1室1厅 南,https://sh.lianjia.com/zufang/SH1655466153113288704.html,徐汇 康健 长丰坊,-,-,,,"月租, 精装, 随时看房",贝壳优选,9天前维护,5610元/月
Xuhui,整租·宛南五村 1室1厅 南/北,https://sh.lianjia.com/zufang/SH1908099421829070848.html,徐汇 龙华 宛南五村,-,-,,,"官方核验, 近地铁",链家,3天前维护,4300元/月
Xuhui,整租·科苑新村 2室1厅 南,https://sh.lianjia.com/zufang/SH1808470147501916160.html,徐汇 康健 科苑新村,-,-,,,"新上, 精装, 随时看房",贝壳优选,5天前维护,6120元/月
Xuhui,,,,,24.00㎡,2间在租,,"独栋公寓, 近地铁, 精装, 开放厨房",徐房悦庭,,3593-3721元/月
Xuhui,整租·汇成一村 1室0厅 南,https://sh.lianjia.com/zufang/SH1902701180136456192.html,徐汇 上海南站 汇成一村,-,-,,,"精装, 随时看房, 首次出租",贝壳优选,1个月前维护,3860元/月
Xuhui,,,,,28.00㎡,2间在租,,"独栋公寓, 近地铁, 精装, 开放厨房",徐房悦庭,,3813-3978元/月
Xuhui,整租·长桥六村 3室2厅 南,https://sh.lianjia.com/zufang/SH1913236406356934656.html,徐汇 长桥 长桥六村,-,-,,,"新上, 精装, 双卫生间, 随时看房, 首次出租",贝壳优选,4天前维护,12600元/月
