district,title,link,location,size,orientation,rooms,floor,tags,brand,maintenance_time,price
Yangpu,整租·财富国际广场 1室1厅 北,https://sh.lianjia.com/zufang/SH1812818651745615872.html,杨浦 五角场 财富国际广场,-,-,,,"精装, 随时看房",贝壳优选,3天前维护,4800元/月
Yangpu,整租·同济新村 1室1厅 南,https://sh.lianjia.com/zufang/SH1914583706895384576.html,杨浦 鞍山 同济新村,-,-,,,"官方核验, 新上, 近地铁, 精装, 随时看房",链家,今天维护,5100元/月
Yangpu,整租·工农新村小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1769742373954256896.html,杨浦 中原 工农新村小区,-,-,,,"近地铁, 随时看房",贝壳优选,13天前维护,3400元/月
Yangpu,,,,,43.00㎡,1间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",COZI可遇,,6666元/月
Yangpu,整租·鞍山四村第二小区 1室1厅 南,https://sh.lianjia.com/zufang/SH1746764815101067264.html,杨浦 鞍山 鞍山四村第二小区,-,-,,,"近地铁, 随时看房",贝壳优选,16天前维护,4200元/月
Yangpu,,,,,28.00㎡,3间在租,,"独栋公寓, 月租, 近地铁, 精装",COZI可遇,,4300元/月
Yangpu,整租·纺平大楼小区 2室1厅 南,https://sh.lianjia.com/zufang/SH1724416126399545344.html,杨浦 周家嘴路 纺平大楼小区,-,-,,,"官方核验, 近地铁, 随时看房",贝壳优选,3天前维护,5200元/月
Yangpu,整租·鞍山三村 1室1厅 北,https://sh.lianjia.com/zufang/SH1837798753487028224.html,杨浦 鞍山 鞍山三村,-,-,,,"官方核验, 近地铁, 精装",链家,2天前维护,3400元/月
Yangpu,整租·国和一村 2室1厅 南/北,https://sh.lianjia.com/zufang/SH1742433224568602624.html,杨浦 中原 国和一村,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,8天前维护,5100元/月
Yangpu,,,,,62.00㎡,2间在租,,"独栋公寓, 月租, 拎包入住, 近地铁, 精装, 开放厨房, 押一付一",COZI可遇,,8900-9500元/月
Yangpu,整租·东方名城 3室2厅 南,https://sh.lianjia.com/zufang/SH1907751540425228288.html,杨浦 中原 东方名城,-,-,,,"精装, 双卫生间, 随时看房, 首次出租",贝壳优选,11天前维护,11000元/月
Yangpu,,,,,9.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",森邻寓,,2700-3300元/月
Yangpu,整租·现代星洲城 2室2厅 南,https://sh.lianjia.com/zufang/SH1768957632271351808.html,杨浦 周家嘴路 现代星洲城,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,1个月前维护,10200元/月
Yangpu,,,,,11.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",森邻寓,,3200-3800元/月
Yangpu,整租·怡佳苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1913889743955820544.html,杨浦 黄兴公园 怡佳苑,-,-,,,"官方核验, 新上, 近地铁, 随时看房, 首次出租",贝壳优选,2天前维护,6400元/月
Yangpu,,,,,9.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",森邻寓,,3500-3800元/月
Yangpu,整租·申泉小区 2室1厅 南/北,https://sh.lianjia.com/zufang/SH1768530703173025792.html,杨浦 东外滩 申泉小区,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,1天前维护,5200元/月
Yangpu,整租·铁岭路50弄 2室0厅 南,https://sh.lianjia.com/zufang/SH1845308571672117248.html,杨浦 鞍山 铁岭路50弄,-,-,,,"官方核验, 近地铁, 精装",链家,6天前维护,5500元/月
Yangpu,,,,,13.00㎡,2间在租,,"独栋公寓, 月租, 近地铁, 精装, 开放厨房, 押一付一",森邻寓,,4200-5200元/月
Yangpu,整租·恒阳花苑 2室1厅 南,https://sh.lianjia.com/zufang/SH1783791465550315520.html,杨浦 鞍山 恒阳花苑,-,-,,,"近地铁, 精装, 随时看房",贝壳优选,1个月前维护,6477元/月
